Security Code,Company_Name,Security Id,Security Name,Status,,,
500148,Uflex Limited,UFLEX,UFLEX LTD.,Active,,,
500150,Foseco India Ltd,FOSECOIND,FOSECO INDIA LTD.,Active,,,
500151,Golden Tobacco Ltd.,GOLDENTOBC,GOLDEN TOBACCO LTD.,Active,,,
500153,Ganesh Benzoplast Ltd.,GANESHBE,GANESH BENZOPLAST LTD.,Active,,,
500159,Metroglobal Limited,METROGLOBL,Metroglobal Limited,Active,,,
500160,GTL Ltd,GTL,GTL LTD.,Active,,,
500163,Godfrey Phillips India Ltd.,GODFRYPHLP,GODFREY PHILLIPS INDIA LTD.,Active,,,
500164,Godrej Industries Ltd.,GODREJIND,GODREJ INDUSTRIES LTD.,Active,,,
500165,Kansai Nerolac Paints,KANSAINER,KANSAI NEROLAC PAINTS LTD.,Active,,,
500166,Goodricke Group Ltd.,GOODRICKE,GOODRICKE GROUP LTD.,Active,,,
500168,Goodyear India Ltd.,GOODYEAR,GOODYEAR INDIA LTD.,Active,,,
500170,GTN Industries Limited,GTNINDS,GTN INDUSTRIES LTD.,Active,,,
500171,GHCL Ltd.,GHCL,GHCL LTD.,Active,,,
500173,GFL LIMITED,GFLLIMITED,GFL Ltd,Active,,,
500174,Gujarat Lease Financing Limited,GLFL,GUJARAT LEASE FINANCING LTD.,Active,,,
500179,HCL Infosystems Ltd,HCL-INSYS,HCL INFOSYSTEMS LTD.,Active,,,
500180,HDFC Bank Ltd.,HDFCBANK,HDFC Bank Ltd,Active,,,
500182,Hero MotoCorp Limited,HEROMOTOCO,HERO MOTOCORP LTD.,Active,,,
500183,HFCL LIMITED,HFCL,HFCL Ltd,Active,,,
500184,Himadri Speciality Chemical Ltd.,HSCL,Himadri Speciality Chemical Ltd,Active,,,
500185,Hindustan Construction Co. Ltd.,HCC,HINDUSTAN CONSTRUCTION CO.LTD.,Active,,,
500186,Hindustan Oil Exploration Co. Ltd.,HINDOILEXP,HINDUSTAN OIL EXPLORATION CO.LTD.,Active,,,
500187,AGI GREENPAC LIMITED,AGI,Agi Greenpac Ltd,Active,,,
500188,Hindustan Zinc Ltd.,HINDZINC,HINDUSTAN ZINC LTD.,Active,,,
500189,NDL Ventures Limited,NDLVENTURE,NDL Ventures Ltd,Active,,,
500191,HMT Limited,HMT,HMT LTD.,Active,,,
500192,Prag Bosimi Synthetics Ltd.,PRAGBOS,PRAG BOSIMI SYNTHETICS LTD.,Active,,,
500193,HLV LIMITED,HLVLTD,HLV Ltd,Active,,,
500199,IG Petrochemicals Ltd,IGPL,I G PETROCHEMICALS LTD.,Active,,,
500201,India Glycols Ltd,INDIAGLYCO,INDIA GLYCOLS LTD.,Active,,,
500202,India Lease Devl. Ltd.,INDLEASE,INDIA LEASE DEVELOPMENT LTD.,Active,,,
500206,Margo Finance Limited,MARGOFIN,Margo Finance Limited,Active,,,
500207,Indo Rama Synthetics (India) Ltd.,INDORAMA,INDO RAMA SYNTHETICS (INDIA) LTD.,Active,,,
500209,Infosys Ltd,INFY,INFOSYS LTD.,Active,,,
500210,Ingersoll-Rand (India) Ltd.,INGERRAND,INGERSOLL-RAND (INDIA) LTD.,Active,,,
500213,International Travel House Ltd,ITHL,INTERNATIONAL TRAVEL HOUSE LTD.-$,Active,,,
500214,Ion Exchange (India) Ltd,IONEXCHANG,ION EXCHANGE (INDIA) LTD.-$,Active,,,
500215,Agro Tech Foods Ltd,ATFL,AGRO TECH FOODS LTD.,Active,,,
500219,Jain Irrigation Systems Ltd.,JISLJALEQS,JAIN IRRIGATION SYSTEMS LTD.,Active,,,
500220,Jasch Industries Ltd.,JASCH,JASCH INDUSTRIES LTD.,Active,,,
500227,Jindal Poly Films Ltd.,JINDALPOLY,JINDAL POLY FILMS LTD.,Active,,,
500228,JSW Steel Limited,JSWSTEEL,JSW STEEL LTD.,Active,,,
500231,Umang Dairies Limited,UMANGDAIRY,UMANG DAIRIES LTD.,Active,,,
500233,Kajaria Ceramics Ltd,KAJARIACER,KAJARIA CERAMICS LTD.,Active,,,
500234,Kakatiya Cement Sugar & Industries Ltd.,KAKATCEM,KAKATIYA CEMENT SUGAR & INDUSTRIES LTD.,Active,,,
500235,Kalyani Steels Ltd,KSL,KALYANI STEELS LTD.,Active,,,
500238,Whirlpool of India Ltd,WHIRLPOOL,WHIRLPOOL OF INDIA LTD.,Active,,,
500239,K.G.Denim Ltd,KGDENIM,KG DENIM LTD.,Active,,,
500240,Kinetic Engineering Ltd.,KINETICENG,KINETIC ENGINEERING LTD.,Active,,,
500241,Kirloskar Brothers Ltd.,KIRLOSBROS,KIRLOSKAR BROTHERS LTD.-$,Active,,,
500243,Kirloskar Industries Ltd,KIRLOSIND,Kirloskar Industries Ltd,Active,,,
500245,Kirloskar Ferrous Industries Ltd.,KIRLFER,KIRLOSKAR FERROUS INDUSTRIES LTD.,Active,,,
500246,Envair Electrodyne Ltd.,ENVAIREL,ENVAIR ELECTRODYNE LTD.,Active,,,
500247,Kotak Mahindra Bank Ltd.,KOTAKBANK,KOTAK MAHINDRA BANK LTD.,Active,,,
500248,KRISHNA FILAMENT INDUSTRIES LIMITED,KRIFILIND,Krishna Filament Industries Ltd,Active,,,
500249,KSB LIMITED,KSB,KSB Ltd,Active,,,
500250,L.g.Balkrishnan & Bros. Ltd.,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,Active,,,
500251,Trent Ltd [Lakme Ltd],TRENT,TRENT LTD.,Active,,,
500252,Lakshmi Machine Works Ltd.,LAXMIMACH,LAKSHMI MACHINE WORKS LTD.,Active,,,
500253,Lic Housing Finance Ltd.,LICHSGFIN,LIC HOUSING FINANCE LTD.,Active,,,
500257,Lupin Ltd,LUPIN,LUPIN LTD.,Active,,,
500259,Lyka Labs Ltd.,LYKALABS,LYKA LABS LTD.,Active,,,
500260,The Ramco Cements Limited,RAMCOCEM,The Ramco Cements Limited,Active,,,
500262,HYBRID FINANCIAL SERVICES LIMITED,HYBRIDFIN,Hybrid Financial Services Ltd,Active,,,
500264,Mafatlal Industries Ltd.,MAFATIND,MAFATLAL INDUSTRIES LTD.-$,Active,,,
500265,Maharashtra Seamless Ltd.,MAHSEAMLES,MAHARASHTRA SEAMLESS LTD.,Active,,,
500266,Maharashtra Scooters Ltd.,MAHSCOOTER,MAHARASHTRA SCOOTERS LTD.,Active,,,
500267,Majestic Auto Ltd.,MAJESAUT,MAJESTIC AUTO LTD.-$,Active,,,
500268,Manali Petrochemicals Ltd.,MANALIPETC,MANALI PETROCHEMICAL LTD.,Active,,,
500270,Baroda Rayon Corpn. Ltd.,BARODARY,BARODA RAYON CORPORATION LTD.,Active,,,
500271,Max Financial Services Limited,MFSL,Max Financial Services Ltd,Active,,,
500277,Mid India Industries Limited,MIDINDIA,MID INDIA INDUSTRIES LTD.,Active,,,
500279,Mirc Electronics Ltd,MIRCELECTR,MIRC ELECTRONICS LTD.,Active,,,
500280,Century Enka Ltd.,CENTENKA,CENTURY ENKA LTD.,Active,,,
500282,Modern Thread (India) Ltd.,MODTHREAD,MODERN THREADS (INDIA) LTD.,Active,,,
500284,Lords Chloro Alkali Ltd,LORDSCHLO,LORDS CHLORO ALKALI LTD.,Active,,,
500285,SpiceJet Limited,SPICEJET,SPICEJET LTD.,Active,,,
500288,Morepen Laboratories Ltd.,MOREPENLAB,MOREPEN LABORATORIES LTD.,Active,,,
500290,M.R.F. Ltd.,MRF,MRF LTD.,Active,,,
500292,HeidelbergCement  India Limited,HEIDELBERG,HEIDELBERGCEMENT INDIA LTD.,Active,,,
500294,NCC Limited,NCC,NCC Limited,Active,,,
500295,Vedanta Limited,VEDL,Vedanta Limited,Active,,,
500296,Nahar Spinning Mills Ltd.,NAHARSPING,NAHAR SPINNING MILLS LTD.,Active,,,
500298,Naperol Investments Limited,NAPEROL,Naperol Investments Ltd,Active,,,
500300,Grasim Industries Ltd,GRASIM,GRASIM INDUSTRIES LTD.,Active,,,
500302,Piramal Enterprises Limited,PEL,PIRAMAL ENTERPRISES LTD.,Active,,,
500304,NIIT Ltd.,NIITLTD,NIIT LTD.,Active,,,
500306,Jaykay Enterprises Limited,JAYKAY,JAYKAY ENTERPRISES LTD.,Active,,,
500307,Nirlon Limited,NIRLON,NIRLON LTD.,Active,,,
500312,Oil And Natural Gas Corporation Ltd,ONGC,Oil and Natural Gas Corporation Ltd,Active,,,
500313,Oil Country Tubular Ltd.,OILCOUNTUB,OIL COUNTRY TUBULAR LTD.,Active,,,
500314,Oriental Hotels Ltd.,ORIENTHOT,ORIENTAL HOTELS LTD.,Active,,,
500317,Oswal Agro Mills Ltd.,OSWALAGRO,OSWAL AGRO MILLS LTD.,Active,,,
500319,Indian Sucrose Ltd.,INDSUCR,INDIAN SUCROSE LTD.,Active,,,
500322,Panyam Cements & Mineral Inds. Ltd.,PANCM,PANYAM CEMENTS & MINERAL INDUSTRIES LTD.,Active,,,
500325,Reliance Industries Ltd,RELIANCE,RELIANCE INDUSTRIES LTD.,Active,,,
500327,Pil Italica Lifestyle Limited,PILITA,Pil Italica Lifestyle Ltd,Active,,,
500330,Raymond Limited,RAYMOND,RAYMOND LTD.,Active,,,
500331,Pidilite Industries Ltd.,PIDILITIND,PIDILITE INDUSTRIES LTD.,Active,,,
500333,Pix Transmissions Ltd.,PIXTRANS,PIX TRANSMISSIONS LTD.,Active,,,
500335,Birla Corporation Ltd.,BIRLACORPN,BIRLA CORPORATION LTD.,Active,,,
500336,Surya Roshni Ltd.,SURYAROSNI,SURYA ROSHNI LTD.,Active,,,
500337,Prime Securities Ltd.,PRIMESECU,PRIME SECURITIES LTD.,Active,,,
500338,PRISM JOHNSON LIMITED.,PRSMJOHNSN,Prism Johnson Ltd,Active,,,
500339,Rain Industries Limited,RAIN,Rain Industries Ltd,Active,,,
500342,Prudential Sugar Corporation Ltd,PRUDMOULI,PRUDENTIAL SUGAR CORPORATION LTD.,Active,,,
500343,AMJ LAND HOLDINGS LIMITED,AMJLAND,AMJ Land Holdings Ltd,Active,,,
500346,Punjab Communications Limited,PUNJCOMMU,PUNJAB COMMUNICATIONS LTD.-$,Active,,,
500350,RSWM Limited,RSWM,RSWM LTD.,Active,,,
500354,Rajshree Sugars & Chemicals Ltd.,RAJSREESUG,RAJSHREE SUGARS & CHEMICALS LTD.,Active,,,
500355,Rallis India Ltd,RALLIS,RALLIS INDIA LTD.,Active,,,
500356,Shree Rama Newsprint Limited,RAMANEWS,SHREE RAMA NEWSPRINT LTD.,Active,,,
500357,Rama Paper Mills Limited,RAMAPPR-B,RAMA PAPER MILLS LTD.,Active,,,
500360,Rapicut Carbides Ltd.,RAPICUT,RAPICUT CARBIDES LTD.,Active,,,
500365,WELSPUN SPECIALTY SOLUTIONS LIMITED,WELSPLSOL,Welspun Specialty Solutions Ltd,Active,,,
